timestamp,x,y,z,qx,qy,qz,qw,bag_id
1703165308.7502184,-1.091145396232605,-7.764489650726318,-0.9697709679603576,-0.010090129632434,-0.0431257724126564,-0.3483999612995598,-0.9362990035262656,4
1703165308.796935,-1.0850231647491455,-7.749595642089844,-0.9680270552635192,-0.0101750085739525,-0.0430383317281198,-0.3536670166505269,-0.9343253247858028,4
1703165308.857,-1.07787024974823,-7.729143142700195,-0.9658151268959044,-0.010457519747998,-0.0429977229247623,-0.3588439595423514,-0.9323480298708056,4
1703165308.899374,-1.07240629196167,-7.71592378616333,-0.9642211198806764,-0.0110168704627725,-0.0429116454881088,-0.363929300054596,-0.930372336115214,4
1703165308.95477,-1.0661033391952517,-7.697264671325684,-0.9621779918670654,-0.0115293804981805,-0.0427269455353022,-0.3684875047753673,-0.9285787205912996,4
1703165309.0025728,-1.0610663890838623,-7.684438228607178,-0.960555374622345,-0.0122957893905755,-0.0424953116180558,-0.3732908608767622,-0.9266589962006696,4
1703165309.0498068,-1.0552040338516235,-7.666790962219238,-0.9584474563598632,-0.0131370234066033,-0.0423185023536556,-0.3779922184532093,-0.9247477741326978,4
1703165309.0992577,-1.049593448638916,-7.649506092071533,-0.9563256502151488,-0.0138654788638571,-0.0421278595062532,-0.3826858815666033,-0.9228133657456904,4
1703165309.1502128,-1.044750452041626,-7.635253429412842,-0.9545015096664428,-0.0148639017426283,-0.0420067964346652,-0.3872932977080919,-0.9208791424658684,4
1703165309.1985354,-1.0394315719604492,-7.617523670196533,-0.9523444771766664,-0.0159382734573707,-0.0418402607788256,-0.391969405839449,-0.9188881046694573,4
1703165309.2503164,-1.034773826599121,-7.602376461029053,-0.9503913521766664,-0.0169924504739134,-0.0417535946432096,-0.3961800233872867,-0.9170655827311976,4
1703165309.3022282,-1.029673457145691,-7.583769798278809,-0.9480431079864502,-0.0180588506946374,-0.0416026713992307,-0.4005545354389565,-0.9151498018266288,4
